Gene Symbol	type	Loss type	total samples in context	count	fraction
VPS4B	LGG	neutral	510	445	0.873
VPS4B	LGG	shallow	510	36	0.071
VPS4B	SKCM	deep	367	14	0.038
VPS4B	SKCM	gain	367	39	0.106
VPS4B	SKCM	neutral	367	249	0.678
VPS4B	SKCM	shallow	367	65	0.177
VPS4B	UCEC	deep	523	20	0.038
VPS4B	UCEC	gain	523	27	0.052
VPS4B	UCEC	neutral	523	413	0.79
VPS4B	UCEC	shallow	523	63	0.12
VPS4B	BRCA	deep	1069	35	0.033
VPS4B	BRCA	gain	1069	137	0.128
VPS4B	BRCA	neutral	1069	653	0.611
VPS4B	BRCA	shallow	1069	244	0.228
VPS4B	MESO	deep	87	3	0.034
VPS4B	MESO	gain	87	2	0.023
VPS4B	MESO	neutral	87	70	0.805
VPS4B	MESO	shallow	87	12	0.138
VPS4B	PCPG	deep	161	1	0.006
VPS4B	PCPG	gain	161	9	0.056
VPS4B	PCPG	neutral	161	149	0.925
VPS4B	PCPG	shallow	161	2	0.012
VPS4B	THCA	deep	497	2	0.004
VPS4B	THCA	gain	497	5	0.01
VPS4B	THCA	neutral	497	487	0.98
VPS4B	THCA	shallow	497	3	0.006
VPS4B	KIRP	deep	283	15	0.053
VPS4B	KIRP	gain	283	8	0.028
VPS4B	KIRP	neutral	283	233	0.823
VPS4B	KIRP	shallow	283	27	0.095
VPS4B	LIHC	deep	367	31	0.084
VPS4B	LIHC	gain	367	22	0.06
VPS4B	LIHC	neutral	367	260	0.708
VPS4B	LIHC	shallow	367	54	0.147
VPS4B	THYM	gain	123	3	0.024
VPS4B	THYM	neutral	123	114	0.927
VPS4B	THYM	shallow	123	6	0.049
VPS4B	LAML	deep	191	2	0.01
VPS4B	LAML	neutral	191	188	0.984
VPS4B	LAML	shallow	191	1	0.005
VPS4B	UVM	gain	80	1	0.012
VPS4B	UVM	neutral	80	77	0.962
VPS4B	UVM	shallow	80	2	0.025
VPS4B	DLBC	gain	48	17	0.354
VPS4B	DLBC	neutral	48	29	0.604
VPS4B	DLBC	shallow	48	2	0.042
VPS4B	CHOL	deep	36	3	0.083
VPS4B	CHOL	gain	36	5	0.139
VPS4B	CHOL	neutral	36	20	0.556
VPS4B	CHOL	shallow	36	8	0.222
VPS4B	GBM	deep	571	21	0.037
VPS4B	GBM	gain	571	39	0.068
VPS4B	GBM	neutral	571	477	0.835
VPS4B	GBM	shallow	571	34	0.06
VPS4B	KIRC	deep	509	2	0.004
VPS4B	KIRC	gain	509	21	0.041
VPS4B	KIRC	neutral	509	420	0.825
VPS4B	KIRC	shallow	509	66	0.13
VPS4B	KICH	deep	65	3	0.046
VPS4B	KICH	gain	65	15	0.231
VPS4B	KICH	neutral	65	43	0.662
VPS4B	KICH	shallow	65	4	0.062
